,year,top_word,value,publications_counts
0,1990,self,3,2
1,1991,model,2,5
2,1992,model,2,4
3,1993,surfactant,2,3
4,1994,experiments,3,8
5,1995,growth,2,6
6,1996,random,2,9
7,1997,self,4,10
8,1998,ion,3,8
9,1999,self,3,13
10,2000,networks,5,12
11,2001,networks,8,21
12,2002,networks,8,16
13,2003,yeast,3,13
14,2004,network,5,17
15,2005,dynamics,5,17
16,2006,network,3,7
17,2007,network,6,21
18,2008,disease,5,15
19,2009,networks,4,8
20,2010,human,4,13
21,2011,network,6,13
22,2012,network,6,16
23,2013,network,5,11
24,2014,network,6,24
25,2015,disease,6,16
26,2016,network,7,20
27,2017,control,4,18
28,2018,network,3,12
